,artist_id,name,genres,sp_followers,artist_popularity
0,1JPy5PsJtkhftfdr6saN2i,Bassnectar,"['bass music', 'breakbeat', 'brostep', 'edm', 'glitch hop']",613706,51
1,48q2mPVwlKnlSaCx07i6Ta,Datsik,"['breakbeat', 'brostep', 'canadian electronic', 'filthstep']",347953,42
2,5Mq3CTRRgLcPkMnUue75a3,Shackleton,"['british experimental', 'classic dubstep', 'uk experimental electronic']",23488,20
3,3V1h3kAdiVDBiwlY2i6dJz,12th Planet,"['brostep', 'dubstep', 'filthstep']",186920,45
4,2leze82lbuNUn3K4c7nS1B,2562,"['classic dubstep', 'footwork', 'future garage']",9846,13
5,1VgMTOTLz4giYaNsZp97Uc,Von Marlon,[],2616,1
6,3ujX3LSXytB7rIVycrRCZJ,Blackdown,[],2003,5
7,53KwLdlmrlCelAZMaLVZqU,James Blake,"['art pop', 'indie soul', 'indietronica', 'neo soul', 'uk alternative pop']",1377143,70
8,5lHhbrX9ll4e8ilhvLzzI6,Clubroot,"['chillstep', 'future garage', 'substep']",19691,21
9,4AmNOz04d1zJLJsNSjHqUc,Ifan Dafydd,[],2534,7
10,45u4hhyZlr11XAFqO74eTZ,deadboy,['gym phonk'],9289,48
11,5gLZp0yBIMY0UM5atyHwEf,Egyptrixx,"['deconstructed club', 'vogue']",4786,4
12,5FKchcZpQOkqFvXBj1aCvb,Excision,"['brostep', 'canadian electronic', 'filthstep']",704392,59
13,1qykxtFM9KoTti5y3xV1uk,FaltyDL,"['classic dubstep', 'footwork', 'future garage', 'microhouse', 'wonky']",35711,28
14,2DcYUFBhRCUcNHsn6ZIshR,Fantastic Mr Fox,['future garage'],9382,11
15,2AR42Ur9PcchQDtEdwkv4L,Floating Points,"['electronica', 'future garage', 'intelligent dance music', 'wonky']",307037,48
16,7Eu1txygG6nJttLHbZdQOh,Four Tet,"['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']",683239,61
17,5ORspEJvAWz3OgMR8gOqcP,Guidolain beats,[],542,43
18,3fmMaLC5jjf2N4EC2kTx0u,Hermitude,"['australian dance', 'australian indie', 'downtempo', 'escape room']",257787,50
19,1GbZUOowT6BhrI9QVoUniG,Ikonika,"['classic dubstep', 'electra', 'footwork', 'future garage', 'purple sound', 'uk experimental electronic', 'vogue', 'weightless', 'wonky']",17706,20
20,6Auo6gEPwhb9aZindgVpZJ,Ital Tek,"['ambient idm', 'classic dubstep', 'deep idm', 'drill and bass', 'footwork', 'future garage', 'glitch hop', 'intelligent dance music', 'substep', 'wonky']",34255,29
21,3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive,"['boston rock', 'indie folk', 'new americana']",518052,59
22,6xrIXAjnPpgitqGcPFsl6f,Martyn Heyne,['neo-classical'],7960,34
23,3NUtpWpGDoffm3RCGhSHtl,Mount Kimbie,"['electra', 'electronica', 'future garage', 'indie soul', 'indietronica', 'wonky']",313115,49
24,7DUqqw1aXnOYoiB7ebj4ra,Nesian N.I.N.E.,['jawaiian'],63175,37
25,08Z0yhWGksNk3wceqlCeGE,Pangaea,"['classic dubstep', 'float house', 'footwork', 'future garage', 'uk bass']",25469,35
26,3qik3cBP28IeoskYWTNSvW,PariahOcean,[],3250,37
27,5RahUdA5cpDqZr1EBegGnY,Ramadanman,"['classic dubstep', 'footwork', 'future garage', 'uk bass', 'vogue']",12274,17
28,1O10apSOoAPjOu6UhUNmeI,SBTRKT,"['chillwave', 'electronica', 'future garage', 'indie soul', 'indietronica']",643182,50
29,2v3VeFgwDNHJEerU1S5Gvw,Scubadiver,['chill abstract hip hop'],8172,27
30,2MPSxDniHj2BKV7GSSOFMA,Sepalcure,"['footwork', 'future garage', 'wonky']",19364,16
31,79HAhNGS54X3WSxIiTfGac,Paul Vincent Snow,[],10,0
32,1jSXmAYCaHoqt7C6t0VZdK,Starkey,"['classic dubstep', 'wonky']",11824,30
33,7dmY98ct1XybSJ6g8enUDx,Subaeris,"['dreampunk', 'hardvapour', 'vaportrap', 'vaporwave']",4271,17
34,3t0Qh47148654VTeYHoQrL,wagawaga,['substep'],766,1
35,1fUMEn4Yk7ZUloozE0fRLL,Jamie Woon,['british soul'],194224,43
36,7A0awCXkE1FtSU8B0qwOJQ,Jamie xx,"['electronica', 'future garage', 'indie soul', 'indietronica']",766341,57
