,track_id,track
0,36,The Golden Rule
1,38,Unlocked (feat. Rye Rye & Jamalski)
2,33,i am another Yourself
3,34,Time For Some Action (feat. xX0Xx)
4,29,Prayer Song (feat. Una & Wicahpi & Merle)
5,31,ViBR8
6,30,We Not As Them (feat. Fashawn)
7,30,Hyper (feat. Azeem)
8,32,Move Like Helicopter (feat. Bobby Saint)
9,37,That Different (feat. Rye Rye)
10,29,The Strength
11,27,Every Song in Your Memory (feat. Azeem)
12,27,Mikasa Es Tsukasa
13,33,Acid Blackness (feat. Ash)
14,28,The Sky (feat. Azeem)
15,30,Relive (feat. Ava Raiin)
16,23,Aion - The Beatless Version
17,17,Interpret The Future
18,26,Open Your Mind
19,32,All Colors (feat. Blakkamoore)
20,22,Deep In The Jungle
21,30,Rewind The Track (feat. Ashel Seasunz)
22,32,Uebok Gotta Run - Bassnectar Remix
23,39,Nice & Easy (feat. Rodney P)
24,21,The Antidote (feat. Zion I)
25,18,Off The Grid
26,29,Empathy - Bass Remedy Remix
27,17,Rise & Shine
28,24,Random Acts Of Kindness
29,19,West Coast Lo Fi Dub (feat. Sati Ananda)
30,21,Skin On The Drum - Bassnectar Redux
31,18,Optimism
32,19,FSOSF - Bassnectar Remix
33,37,Heavyweight Sound (feat. RD)
34,24,Whiplash (feat. Reeps One)
35,23,Easy Does It
36,36,High - Bassnectar Remix
37,36,The Mothership
38,22,Enchanted - Bassnectar Remix
39,43,Reaching Out
40,38,Music Is The Drug
41,41,TKO (feat. Rye Rye & Zion I)
42,36,Mind Tricks (feat. G Jones & Lafa Taylor)
43,30,Unlimited Combinations
44,27,Level Up (feat. Macntaj)
45,29,Shampion Chip
46,29,Zodgilla
47,35,Paracosm
48,29,Surrender (feat. Haley)
49,30,Dream Catcher
50,33,Journey To The Center
51,19,In The Beginning - 2016 Version
52,30,"Rising, Rising - Bassnectar Remix"
53,18,Inspire The Empathetic
54,41,Chasing Heaven
55,36,Into the Sun
56,55,Speakerbox (feat. Lafa Taylor)
57,27,The Mystery Spot (feat. G Jones)
58,29,Sideways (feat. Zion I)
59,30,Rose Colored Bass - Bassnectar Remix
60,28,Generate
61,36,One Thing (feat. Cristina Soto) - Bassnectar Remix
62,29,Science Fiction
63,27,Blow - 2015 Version
64,38,Sommarfågel - Bassnectar Remix
65,27,Dorfex Bos - Bassnectar Remix 2015 Version
66,19,Breathing - 2015 Version
67,25,Dubuasca - 2015 Version
68,26,Enter the Chamber - 2015 Version
69,27,Mixtape 13
70,23,Fire - Bassnectar Remix
71,25,"Lost In The Crowd (feat. Fashawn, Zion I) - LOCOJA Remix"
72,16,Now (feat. Rye Rye) - Run DMT Remix
73,25,Loco Ono - Bassnectar & Stylust Beats Remix
74,19,You & Me (feat. W. Darling) - Champagne Drip Remix
75,15,Flash Back - At Dawn We Rage Remix
76,26,Thursty (feat. Craz)
77,16,Noise (feat. Donnis) - PANTyRAiD Remix
78,14,The Future (feat. Jenna Sousa) - Proper Villains Remix
79,14,Loco Ono - Jayceeoh Remix
80,6,Now (feat. Rye Rye) - Christian Revelino Remix
81,14,Mystery Song (feat. BEGINNERS) - Bassnectar Remix
82,21,Don't Hate The 808 (feat. Lafa Taylor) - G Jones Remix
83,25,Heaters - Bassnectar Remix
84,17,Hold On (feat. TURSI) - Kill Paris Remix
85,15,Open Up (feat. Simon Morel) - Minnesota Remix
86,13,So Butterfly - 2014 Version D.V.S* Remix
87,10,Hold On (feat. TURSI) - Extended Version
88,16,Mystery Song (feat. BEGINNERS) - Infuze Remix
89,11,Noise (feat. Donnis) - Rise At Night Remix
90,15,Noise (feat. Donnis) - Son of Kick Remix
91,10,You & Me (feat. W. Darling) - Flinch Remix
92,29,F.U.N.
93,36,Now (feat. Rye Rye)
94,27,Loco Ono
95,44,You & Me (feat. W. Darling)
96,38,"Lost in the Crowd (feat. Fashawn, Zion I)"
97,31,Ephemeral
98,19,Hold On (feat. TURSI)
99,35,Noise (feat. Donnis)
100,27,The Future (feat. Jenna Sousa)
101,25,Open Up (feat. Simon Morel)
102,28,Mystery Song (feat. BEGINNERS)
103,36,Don't Hate The 808 (feat. Lafa Taylor)
104,26,Gnar
105,23,Flash Back
106,24,So Butterfly - 2014 Version
107,38,Vava Voom
108,43,Empathy
109,24,Ugly
110,32,Ping Pong
111,29,What
112,45,Pennywise Tribute
113,22,Laughter Crescendo [2012 Version]
114,42,Butterfly
115,23,Nothing Has Been Broken
116,10,Chronological Outtakes
117,25,Upside Down
118,25,Plugged In - Bassnectar Remix
119,26,Immigraniada - Bassnectar Remix
120,25,Boomerang
121,0,Lights - Bassnectar Remix
122,21,Red Step
123,33,The Matrix
124,24,Voodoo
125,22,Heads Up - 2011 Version
126,27,Paging Stereophonic
127,24,Above and Beyond
